5	1536	0	16916
4	1536	0	16895
3	1536	0	16803
2	1536	0	16915
6	1536	0	16495
7	1536	0	16608
1	1536	0	16625
21	1024	16997	18231
22	1024	16770	17911
18	2560	16966	17613
11	1024	16689	17420
17	1024	16944	17673
10	3008	16642	17051
8	3008	16943	17395
19	1024	16823	17546
9	3008	16819	17168
14	3008	16926	17299
12	3008	16926	17321
13	3008	16918	17306
15	3008	16984	17352
16	3008	17030	17649
20	3008	16820	17218
23	512	18440	19084
24	1024	19091	20282
26	512	20310	21709
27	1024	20310	21104
29	1024	20313	21072
25	1024	20302	21109
30	512	20325	21518
31	1024	20315	21060
28	1024	20317	21041
32	1024	21777	22602
33	1024	22612	24356
34	1024	24362	25629
